"date","series_id","value","realtime_start","realtime_end"
1996-08-01,"DFF",-0.173548387096774,2022-06-15,2022-06-15
1996-09-01,"DFF",0.0760967741935484,2022-06-15,2022-06-15
1996-10-01,"DFF",-0.0609354838709677,2022-06-15,2022-06-15
1996-11-01,"DFF",0.0729354838709677,2022-06-15,2022-06-15
1996-12-01,"DFF",-0.0164838709677419,2022-06-15,2022-06-15
1997-01-01,"DFF",-0.04,2022-06-15,2022-06-15
1997-02-01,"DFF",-0.0688018433179724,2022-06-15,2022-06-15
1997-03-01,"DFF",0.200414746543779,2022-06-15,2022-06-15
1997-04-01,"DFF",0.121204301075269,2022-06-15,2022-06-15
1997-05-01,"DFF",-0.0031397849462365,2022-06-15,2022-06-15
1997-06-01,"DFF",0.0514731182795699,2022-06-15,2022-06-15
1997-07-01,"DFF",-0.0343763440860215,2022-06-15,2022-06-15
1997-08-01,"DFF",0.0209677419354838,2022-06-15,2022-06-15
1997-09-01,"DFF",-0.0015913978494623,2022-06-15,2022-06-15
1997-10-01,"DFF",-0.0445376344086022,2022-06-15,2022-06-15
1997-11-01,"DFF",0.0255376344086022,2022-06-15,2022-06-15
1997-12-01,"DFF",-0.0168279569892473,2022-06-15,2022-06-15
1998-01-01,"DFF",0.0525806451612903,2022-06-15,2022-06-15
1998-02-01,"DFF",-0.051705069124424,2022-06-15,2022-06-15
1998-03-01,"DFF",-0.0121658986175115,2022-06-15,2022-06-15
1998-04-01,"DFF",-0.0482150537634409,2022-06-15,2022-06-15
1998-05-01,"DFF",0.0433763440860215,2022-06-15,2022-06-15
1998-06-01,"DFF",0.0699569892473119,2022-06-15,2022-06-15
1998-07-01,"DFF",-0.0228602150537635,2022-06-15,2022-06-15
1998-08-01,"DFF",0.0109677419354839,2022-06-15,2022-06-15
1998-09-01,"DFF",-0.0351075268817204,2022-06-15,2022-06-15
1998-10-01,"DFF",-0.440698924731183,2022-06-15,2022-06-15
1998-11-01,"DFF",-0.244967741935484,2022-06-15,2022-06-15
1998-12-01,"DFF",-0.142451612903226,2022-06-15,2022-06-15
1999-01-01,"DFF",-0.0509677419354839,2022-06-15,2022-06-15
1999-02-01,"DFF",0.132062211981567,2022-06-15,2022-06-15
1999-03-01,"DFF",0.0447119815668203,2022-06-15,2022-06-15
1999-04-01,"DFF",-0.0730215053763441,2022-06-15,2022-06-15
1999-05-01,"DFF",0.0059247311827957,2022-06-15,2022-06-15
1999-06-01,"DFF",0.0224086021505377,2022-06-15,2022-06-15
1999-07-01,"DFF",0.22952688172043,2022-06-15,2022-06-15
1999-08-01,"DFF",0.0780645161290322,2022-06-15,2022-06-15
1999-09-01,"DFF",0.152075268817204,2022-06-15,2022-06-15
1999-10-01,"DFF",-0.0243333333333333,2022-06-15,2022-06-15
1999-11-01,"DFF",0.22,2022-06-15,2022-06-15
1999-12-01,"DFF",-0.124193548387097,2022-06-15,2022-06-15
2000-01-01,"DFF",0.15258064516129,2022-06-15,2022-06-15
2000-02-01,"DFF",0.286440489432703,2022-06-15,2022-06-15
2000-03-01,"DFF",0.118720800889878,2022-06-15,2022-06-15
2000-04-01,"DFF",0.166118279569893,2022-06-15,2022-06-15
2000-05-01,"DFF",0.248397849462366,2022-06-15,2022-06-15
2000-06-01,"DFF",0.260268817204301,2022-06-15,2022-06-15
2000-07-01,"DFF",0.0161827956989248,2022-06-15,2022-06-15
2000-08-01,"DFF",-0.047741935483871,2022-06-15,2022-06-15
2000-09-01,"DFF",0.0202258064516129,2022-06-15,2022-06-15
2000-10-01,"DFF",-0.0076451612903226,2022-06-15,2022-06-15
2000-11-01,"DFF",0.0049784946236559,2022-06-15,2022-06-15
2000-12-01,"DFF",-0.112075268817204,2022-06-15,2022-06-15
2001-01-01,"DFF",-0.426451612903226,2022-06-15,2022-06-15
2001-02-01,"DFF",-0.481520737327189,2022-06-15,2022-06-15
2001-03-01,"DFF",-0.18331797235023,2022-06-15,2022-06-15
2001-04-01,"DFF",-0.508967741935484,2022-06-15,2022-06-15
2001-05-01,"DFF",-0.589741935483871,2022-06-15,2022-06-15
2001-06-01,"DFF",-0.242591397849462,2022-06-15,2022-06-15
2001-07-01,"DFF",-0.200634408602151,2022-06-15,2022-06-15
2001-08-01,"DFF",-0.116451612903226,2022-06-15,2022-06-15
2001-09-01,"DFF",-0.58358064516129,2022-06-15,2022-06-15
2001-10-01,"DFF",-0.583838709677419,2022-06-15,2022-06-15
2001-11-01,"DFF",-0.398161290322581,2022-06-15,2022-06-15
2001-12-01,"DFF",-0.269258064516129,2022-06-15,2022-06-15
2002-01-01,"DFF",-0.0880645161290323,2022-06-15,2022-06-15
2002-02-01,"DFF",0.0099654377880184,2022-06-15,2022-06-15
2002-03-01,"DFF",-0.0096428571428571,2022-06-15,2022-06-15
2002-04-01,"DFF",0.023,2022-06-15,2022-06-15
2002-05-01,"DFF",-0.0017096774193548,2022-06-15,2022-06-15
2002-06-01,"DFF",-0.0009569892473119,2022-06-15,2022-06-15
2002-07-01,"DFF",-0.0213010752688172,2022-06-15,2022-06-15
2002-08-01,"DFF",0.0141935483870968,2022-06-15,2022-06-15
2002-09-01,"DFF",0.0074408602150538,2022-06-15,2022-06-15
2002-10-01,"DFF",0.0041720430107527,2022-06-15,2022-06-15
2002-11-01,"DFF",-0.418838709677419,2022-06-15,2022-06-15
2002-12-01,"DFF",-0.0976129032258065,2022-06-15,2022-06-15
2003-01-01,"DFF",-0.0032258064516129,2022-06-15,2022-06-15
2003-02-01,"DFF",0.0269815668202765,2022-06-15,2022-06-15
2003-03-01,"DFF",-0.0092396313364055,2022-06-15,2022-06-15
2003-04-01,"DFF",0.0050967741935484,2022-06-15,2022-06-15
